"Type","UniqueName","Name"
"BPLegalEntity","Amoco Nigeria Oil Company Limited","Amoco Nigeria Oil Company Limited"
"BPLegalEntity","Amoco Nigeria Petroleum Company","Amoco Nigeria Petroleum Company"
"BPLegalEntity","Amoco Nigeria Petroleum Company Limited","Amoco Nigeria Petroleum Company Limited"
"BPLegalEntity","Amoco Norway Oil Company","Amoco Norway Oil Company"
"BPLegalEntity","Amoco Oil Holding Company","Amoco Oil Holding Company"
"BPLegalEntity","Amoco Olefins Corporation","Amoco Olefins Corporation"
"BPLegalEntity","Amoco Overseas Exploration Company","Amoco Overseas Exploration Company"
"BPLegalEntity","Amoco Pipeline Asset Company","Amoco Pipeline Asset Company"
"BPLegalEntity","Amoco Pipeline Holding Company","Amoco Pipeline Holding Company"
"BPLegalEntity","Amoco Properties Incorporated","Amoco Properties Incorporated"
"BPLegalEntity","Amoco Realty Company","Amoco Realty Company"
"BPLegalEntity","Amoco Remediation Management Services Corporation","Amoco Remediation Management Services Corporation"
"BPLegalEntity","Amoco Research Operating Company","Amoco Research Operating Company"
"BPLegalEntity","Amoco Rio Grande Pipeline Company","Amoco Rio Grande Pipeline Company"
"BPLegalEntity","Amoco Somalia Petroleum Company","Amoco Somalia Petroleum Company"
"BPLegalEntity","Amoco Sulfur Recovery Company","Amoco Sulfur Recovery Company"
"BPLegalEntity","Amoco Tax Leasing X Corporation","Amoco Tax Leasing X Corporation"
"BPLegalEntity","Amoco Trinidad Gas B.V.","Amoco Trinidad Gas B.V."
"BPLegalEntity","Amoco Tri-States NGL Pipeline Company","Amoco Tri-States NGL Pipeline Company"
"BPLegalEntity","Amoco U.K. Petroleum Limited","Amoco U.K. Petroleum Limited"
"BPLegalEntity","AmProp Finance Company","AmProp Finance Company"
"BPLegalEntity","Amprop Illinois I Limited Partnership","Amprop Illinois I Limited Partnership"
"BPLegalEntity","Amprop, Inc.","Amprop, Inc."
"BPLegalEntity","Amsterdam Schiphol Pijpleiding C.V.","Amsterdam Schiphol Pijpleiding C.V."
"BPLegalEntity","Anaconda Arizona, Inc.","Anaconda Arizona, Inc."
"BPLegalEntity","Angola LNG Limited","Angola LNG Limited"
"BPLegalEntity","Angola LNG Marketing Ltd","Angola LNG Marketing Ltd"
"BPLegalEntity","Angola LNG Supply Services LLC","Angola LNG Supply Services LLC"
"BPLegalEntity","Arabian Production And Marketing Lubricants Company","Arabian Production And Marketing Lubricants Company"
"BPLegalEntity","Aral Aktiengesellschaft","Aral Aktiengesellschaft"
"BPLegalEntity","Aral Luxembourg S.A.","Aral Luxembourg S.A."
"BPLegalEntity","Aral Mineralölvertrieb GmbH","Aral Mineralölvertrieb GmbH"
"BPLegalEntity","Aral Services Luxembourg Sarl","Aral Services Luxembourg Sarl"
"BPLegalEntity","Aral Tankstellen Services Sarl","Aral Tankstellen Services Sarl"
"BPLegalEntity","Aral Vertrieb GmbH","Aral Vertrieb GmbH"
"BPLegalEntity","ARCO British International, Inc.","ARCO British International, Inc."
"BPLegalEntity","ARCO British Limited, LLC","ARCO British Limited, LLC"
"BPLegalEntity","ARCO Coal Australia Inc.","ARCO Coal Australia Inc."
"BPLegalEntity","ARCO El-Djazair Holdings Inc.","ARCO El-Djazair Holdings Inc."
"BPLegalEntity","ARCO El-Djazair LLC","ARCO El-Djazair LLC"
"BPLegalEntity","ARCO Environmental Remediation, L.L.C.","ARCO Environmental Remediation, L.L.C."
"BPLegalEntity","ARCO Exploration, Inc.","ARCO Exploration, Inc."
"BPLegalEntity","ARCO Gaviota Company","ARCO Gaviota Company"
"BPLegalEntity","ARCO Ghadames Inc.","ARCO Ghadames Inc."
"BPLegalEntity","ARCO International Investments Inc.","ARCO International Investments Inc."
"BPLegalEntity","ARCO International Services Inc.","ARCO International Services Inc."
"BPLegalEntity","ARCO Material Supply Company","ARCO Material Supply Company"
"BPLegalEntity","ARCO Midcon LLC","ARCO Midcon LLC"
"BPLegalEntity","ARCO Neftegaz Holdings, Inc.","ARCO Neftegaz Holdings, Inc."
"BPLegalEntity","ARCO Oil Company Nigeria Unlimited","ARCO Oil Company Nigeria Unlimited"
"BPLegalEntity","ARCO Oman Inc.","ARCO Oman Inc."
"BPLegalEntity","ARCO Products Company","ARCO Products Company"
"BPLegalEntity","ARCO Resources Limited","ARCO Resources Limited"
"BPLegalEntity","ARCO Solar Nigeria Ltd.","ARCO Solar Nigeria Ltd."
"BPLegalEntity","ARCO Terminal Services Corporation","ARCO Terminal Services Corporation"
"BPLegalEntity","ARCO Trinidad Exploration and Production Company Limited","ARCO Trinidad Exploration and Production Company Limited"
"BPLegalEntity","ARCO Unimar Holdings LLC","ARCO Unimar Holdings LLC"
"BPLegalEntity","Asera, Inc.","Asera, Inc."
"BPLegalEntity","Asian Acetyls Co., Ltd","Asian Acetyls Co., Ltd"
"BPLegalEntity","Aspac Lubricants (Malaysia) Sdn. Bhd.","Aspac Lubricants (Malaysia) Sdn. Bhd."
"BPLegalEntity","ATAS Anadolu Tasfiyehanesi Anonim Sirketi","ATAS Anadolu Tasfiyehanesi Anonim Sirketi"
"BPLegalEntity","Atlantic 1 Holdings LLC","Atlantic 1 Holdings LLC"
"BPLegalEntity","Atlantic 2/3 Holdings LLC","Atlantic 2/3 Holdings LLC"
"BPLegalEntity","Atlantic 2/3 UK Holdings Limited","Atlantic 2/3 UK Holdings Limited"
"BPLegalEntity","Atlantic 4 Holdings LLC","Atlantic 4 Holdings LLC"
"BPLegalEntity","Atlantic LNG 2/3 Company of Trinidad and Tobago Unlimited","Atlantic LNG 2/3 Company of Trinidad and Tobago Unlimited"
"BPLegalEntity","Atlantic LNG 4 Company of Trinidad and Tobago Unlimited","Atlantic LNG 4 Company of Trinidad and Tobago Unlimited"
"BPLegalEntity","Atlantic LNG Company of Trinidad and Tobago","Atlantic LNG Company of Trinidad and Tobago"
"BPLegalEntity","Atlantic Richfield Company","Atlantic Richfield Company"
"BPLegalEntity","Atlas Methanol Company Unlimited","Atlas Methanol Company Unlimited"
"BPLegalEntity","Australasian Lubricants Manufacturing Company Pty Ltd","Australasian Lubricants Manufacturing Company Pty Ltd"
"BPLegalEntity","Australian Terminal Operations Management Pty Ltd","Australian Terminal Operations Management Pty Ltd"
"BPLegalEntity","Auwahi Holdings, LLC","Auwahi Holdings, LLC"
"BPLegalEntity","Auwahi Wind Energy Holdings LLC","Auwahi Wind Energy Holdings LLC"
"BPLegalEntity","Auwahi Wind Energy LLC","Auwahi Wind Energy LLC"
"BPLegalEntity","Aviation Fuel Services Limited","Aviation Fuel Services Limited"
"BPLegalEntity","Azerbaijan Gas Supply Company Limited","Azerbaijan Gas Supply Company Limited"
"BPLegalEntity","Azerbaijan International Operating Company","Azerbaijan International Operating Company"
"BPLegalEntity","Bahia de Bizkaia Electridad, S.L.","Bahia de Bizkaia Electridad, S.L. "
"BPLegalEntity","Bahrain Aviation Fuelling Company B.S.C.","Bahrain Aviation Fuelling Company B.S.C."
"BPLegalEntity","Baltimore Ennis Land Company, Inc.","Baltimore Ennis Land Company, Inc."
"BPLegalEntity","Baplor S.A.","Baplor S.A."
"BPLegalEntity","Barranca Sur Minera S.A.","Barranca Sur Minera S.A."
"BPLegalEntity","Bayernoil Raffineriegesellschaft mbH","Bayernoil Raffineriegesellschaft mbH"
"BPLegalEntity","Beer GmbH","Beer GmbH"
"BPLegalEntity","Beer GmbH & Co. Mineralol-Vertriebs-KG","Beer GmbH & Co. Mineralol-Vertriebs-KG"
"BPLegalEntity","BFS Berlin Fuelling Services GbR","BFS Berlin Fuelling Services GbR"
"BPLegalEntity","BGFH Betankungs-Gesellschaft Frankfurt-Hahn GbR","BGFH Betankungs-Gesellschaft Frankfurt-Hahn GbR"
"BPLegalEntity","Biotechnology Research & Development Corporation","Biotechnology Research & Development Corporation"
"BPLegalEntity","Black Lake Pipe Line Company","Black Lake Pipe Line Company"
"BPLegalEntity","Blendcor (Pty) Limited","Blendcor (Pty) Limited"
"BPLegalEntity","BP - Castrol (Thailand) Limited","BP - Castrol (Thailand) Limited"
"BPLegalEntity","BP (Abu Dhabi) Limited","BP (Abu Dhabi) Limited"
"BPLegalEntity","BP (Barbados) Holding SRL","BP (Barbados) Holding SRL"
"BPLegalEntity","BP (Barbican) Limited","BP (Barbican) Limited"
"BPLegalEntity","BP (China) Holdings Limited","BP (China) Holdings Limited"
"BPLegalEntity","BP (China) Industrial Lubricants Limited","BP (China) Industrial Lubricants Limited"
"BPLegalEntity","BP (Gibraltar) Limited","BP (Gibraltar) Limited"
"BPLegalEntity","BP (Malta) Limited","BP (Malta) Limited"
"BPLegalEntity","BP ABSHERON LIMITED","BP ABSHERON LIMITED"
"BPLegalEntity","BP Africa Limited","BP Africa Limited"
"BPLegalEntity","BP Akaryakit Ortakligi","BP Akaryakit Ortakligi"
"BPLegalEntity","BP Alaska LNG LLC","BP Alaska LNG LLC"
"BPLegalEntity","BP Alternative Energy Holdings Limited","BP Alternative Energy Holdings Limited"
